student_id,hours_studied,attendance_percent,sleep_hours,assignment_score,previous_scores,extracurricular,exam_score,performance_category
1,6.0,91.1,8.2,81.7,54.9,No,71.1,Distinction
2,4.7,100.0,7.6,61.7,62.8,No,75.9,Distinction
3,6.3,63.2,6.6,57.7,53.1,Yes,58.5,Fail
4,8.0,86.8,5.7,69.9,60.4,Yes,76.9,Distinction
5,4.5,72.2,7.3,67.4,36.6,Yes,54.1,Fail
6,4.5,74.2,7.0,63.2,68.2,Yes,65.6,Pass
7,8.2,72.9,7.6,80.4,65.0,No,81.0,Distinction
8,6.5,69.6,7.3,84.3,52.7,No,80.1,Distinction
9,4.1,80.6,7.8,71.3,74.9,Yes,63.3,Pass
10,6.1,70.0,5.9,92.2,79.1,Yes,73.5,Distinction
11,4.1,83.2,8.1,52.9,40.9,No,59.9,Fail
12,4.1,79.4,6.7,67.1,53.6,No,67.5,Pass
13,5.5,77.1,9.0,59.2,53.5,Yes,61.9,Pass
14,1.2,69.1,5.7,42.0,50.9,No,45.9,Fail
15,1.6,73.1,8.6,68.8,77.4,No,53.7,Fail
16,3.9,89.1,6.7,68.2,62.1,Yes,62.0,Pass
17,3.0,86.0,5.7,92.7,61.0,Yes,61.1,Pass
18,5.6,68.3,5.9,79.5,34.9,No,62.5,Pass
19,3.2,81.2,6.1,54.6,74.5,No,55.6,Fail
20,2.2,89.0,7.0,97.8,46.4,No,61.0,Pass
21,7.9,60.0,7.1,88.3,65.9,Yes,82.6,Distinction
22,4.5,86.5,5.8,78.7,69.2,Yes,70.7,Distinction
23,5.1,72.0,6.5,66.6,85.4,No,69.3,Pass
24,2.2,86.8,9.0,55.6,45.4,No,53.0,Fail
25,3.9,70.8,8.6,64.4,30.0,Yes,51.6,Fail
26,5.2,58.3,7.0,86.3,67.8,No,68.7,Pass
27,2.7,60.5,6.5,98.3,92.0,No,63.5,Pass
28,5.8,80.6,6.6,93.1,83.6,No,81.5,Distinction
29,3.8,83.1,7.2,62.7,68.1,No,57.5,Fail
30,4.4,69.1,5.3,53.2,57.6,No,53.0,Fail
31,3.8,87.7,6.2,72.1,77.1,No,53.2,Fail
32,8.7,60.1,4.5,43.5,50.4,No,61.4,Pass
33,5.0,79.2,7.0,74.8,72.1,Yes,72.2,Distinction
34,2.9,65.5,7.3,67.8,72.6,No,52.1,Fail
35,6.6,72.2,5.9,63.0,80.9,Yes,71.4,Distinction
36,2.6,80.6,8.4,46.1,100.0,No,57.6,Fail
37,5.4,69.7,5.0,77.7,70.9,Yes,64.5,Pass
38,1.1,75.4,4.7,62.0,57.4,Yes,37.9,Fail
39,2.3,92.1,6.8,52.5,64.6,Yes,56.1,Fail
40,5.4,73.1,7.8,26.9,38.5,Yes,38.8,Fail
41,6.5,90.0,8.5,69.6,54.6,No,72.8,Distinction
42,5.3,66.4,5.9,96.6,58.9,No,54.6,Fail
43,4.8,86.4,7.8,94.9,57.1,No,77.3,Distinction
44,4.4,97.3,6.5,,67.3,Yes,70.3,Distinction
45,2.0,50.3,6.3,61.0,52.7,Yes,46.2,Fail
46,3.6,70.4,7.6,77.0,81.8,Yes,70.5,Distinction
47,4.1,86.9,7.3,55.0,65.0,Yes,56.1,Fail
48,7.1,77.6,4.6,74.5,64.9,No,79.3,Distinction
49,5.7,84.5,8.3,81.5,60.1,Yes,77.4,Distinction
50,1.5,72.8,8.2,88.4,67.3,Yes,54.3,Fail
51,5.6,81.0,5.7,68.5,77.4,Yes,73.2,Distinction
52,4.2,78.1,7.0,66.9,52.0,Yes,53.3,Fail
53,3.6,94.0,7.1,56.8,55.1,No,55.8,Fail
54,6.2,83.1,6.8,57.6,60.4,No,63.7,Pass
55,7.1,84.1,5.8,66.6,44.8,Yes,65.9,Pass
56,6.9,75.1,5.7,75.5,52.7,Yes,61.7,Pass
57,3.3,74.1,6.5,,57.9,Yes,65.5,Pass
58,4.4,74.8,7.9,58.0,78.1,Yes,60.9,Pass
59,5.7,84.7,7.2,92.4,68.9,Yes,74.8,Distinction
60,7.0,74.9,6.1,65.9,67.9,No,65.6,Pass
61,4.0,83.5,7.4,69.7,77.8,No,53.3,Fail
62,4.6,100.0,4.0,58.8,62.9,No,63.8,Pass
63,2.8,90.5,7.9,33.6,70.9,No,44.9,Fail
64,2.6,76.1,4.4,83.3,63.5,No,53.2,Fail
65,6.6,94.4,6.1,81.1,69.0,No,66.7,Pass
66,7.7,75.1,5.2,65.8,56.3,No,80.9,Distinction
67,4.9,55.5,4.9,71.0,30.0,No,57.5,Fail
68,7.0,67.9,7.9,77.7,63.0,Yes,71.9,Distinction
69,5.7,57.6,5.9,46.6,86.3,No,66.4,Pass
70,3.7,75.8,6.9,62.1,78.9,No,54.4,Fail
71,5.7,80.2,6.4,81.9,79.5,No,73.1,Distinction
72,8.1,100.0,7.1,51.2,83.5,No,81.2,Distinction
73,4.9,83.9,6.6,74.4,66.3,No,67.4,Pass
74,8.1,77.4,5.0,49.7,68.0,Yes,77.1,Distinction
75,0.0,90.0,7.7,77.0,55.7,No,55.6,Fail
76,6.6,53.5,5.9,69.5,60.3,Yes,63.5,Pass
77,5.2,82.8,4.6,45.8,74.2,Yes,50.2,Fail
78,4.4,89.3,6.0,87.5,83.1,Yes,62.4,Pass
79,5.2,62.3,8.3,59.0,62.9,No,60.6,Pass
80,1.0,93.7,7.5,57.8,58.2,Yes,53.2,Fail
81,4.6,84.1,6.1,73.0,65.0,Yes,56.9,Fail
